"","comicName","comicSummary","comicGrade"
"313","신이 없는 세계","깨비깨비 도깨비","9.90"
"314","밤의 아이들은 누가 듣는가","다장르 단편 모음","9.92"
"315","요괴백정","요괴사냥 판타지","9.87"
"316","거미의 상자","일하는악마는 피곤해","9.90"
"317","뿅가이","간다 간다 뿅간다♡","9.85"
"318","우울의 바다","그깊은곳에대하여","9.42"
"319","밀지","독살사건의 음모","9.75"
"320","오마이갓","신을 뽑는 오디션","9.62"
"321","우민이와 팬티요정","미미는 팬티요정","9.14"
"322","오늘도 랄라","평범하진 않은 가족이야기","9.74"
"323","어느새스며든","삼각관계","9.65"
"324","모죠의 일지","유잼인생","9.89"
"325","헛헛하다","daily life","9.77"
"326","반","소년이여 성장하라!","9.84"
"327","달맞이꽃","동양판타지","9.86"
"328","말랑말랑 생활사","말랑말랑한 생활","9.72"
"329","하루한끼 감정일기","아기자기힐링 음식툰","9.84"
"330","강호열전","강호의 여러 인간상","9.92"
"331","멍멍이랑","멍멍","9.89"
"332","유포리아","댄싱 학원물","9.73"
"333","모솔탈출 일대기","모쏠 탈출 일대기!","9.65"
"334","루미인싸이드","청춘가족휴먼스토리","9.87"
"335","땅 보고 걷는 아이","가정폭력을 그린 만화","9.88"
"336","블래커","범죄예측시스템","9.76"
"337","왕자님을 찾아라!","왕자찾기 프로젝트","9.88"
"338","4년째 신혼일기","4년차부부의리얼일상","9.76"
"339","단편들","단편만화","9.91"
"340","러브 햄츄얼리","햄지 연애 성공기","9.71"
"341","미용사","전직용사 현직미용사","9.79"
"342","리베르","리베르","9.31"
"343","정불고교","정체불명 고등학교!","9.60"
"344","지독한악연","내 인생에서 꺼져","8.79"
"345","방안의 코끼리","친구충과 직진연하남","9.83"
"346","우주광부","죽음, 그리고 우주","9.71"
"347","짠이쨍아","엉뚱 발랄 가족툰","9.66"
"348","어린공주","코믹 동화 판타지","9.93"
"349","판타지를 기대하지마","수상한 사람이 왔다","9.84"
"350","악마의 성불사무소","악마와 소년","9.89"
"351","포갓(FOURGOD)","열심히 일하는 신","9.87"
"352","신과 인간","신과 인간의 이야기","9.89"
"353","취사병 전설이 되다","군대요리 판타지만화","9.91"
"354","오늘도 오셨네요","김직원입니다","9.26"
"355","버찌와 나","집사와 아기 고양이","9.91"
"356","반짝반짝 빛나는","반짝반짝빛나는","9.88"
"357","아이테르","현대 판타지","9.86"
"358","오늘은 영웅","한 사람만의 영웅","9.78"
"359","은규랑 누나랑","꽁냥꽁냥 러브스토리","9.83"
"360","인생막장","정식 연재 협의 중","9.25"
"361","셀리아의 어린 연인","판타지로맨스 코미디","9.85"
"362","랭커앤랭커","초능력학원물","9.81"
"363","블루랜드","색을 잃고 살아남다","9.90"
"364","체리블로섬","너를 만나고 싶어","9.89"
"365","무주의 맹시","삼신할미의 저주풀기","9.90"
"366","평범한 이계의 여고생","차원이동 여고생","9.91"
"367","만화유치원","만화가지망생 유치원가다","9.89"
"368","삶이 우리를 속일지라도","개그로맨스","9.92"
"369","별을지나","아이돌 탈출기!!","9.64"
"370","검은 가시","마녀들의 투쟁사","9.86"
"371","디드롭스 (D.drops)","당신이 꿈꾸는 잔혹동화","9.88"
"372","블러드 라이트","에피소드 판타지","9.54"
"373","한 지붕 아래","다섯 바보의 이야기","9.91"
"374","몬스터즈필드","소녀들의 미식축구!","8.98"
"375","호구와 싸가지","마지막 공지","9.89"
"376","스코칭 로맨스","화끈한 개그 로맨스","9.86"
"377","신","인간이 되어버린 신","9.69"
"378","#살인스타그램","SNS연쇄살인","9.68"
"379","러브라이터","러브코미디","9.87"
"380","신의 태궁","태궁과 도깨비","9.91"
"381","그남자 그남자의 사정","보통만화.","9.82"
"382","드라코런 :: Dracorun","드래곤 라이더","9.80"
"383","공감각자","5.5감 스릴러","9.73"
"384","도시소녀 귀농기","백수가족 단체귀농!","9.80"
"385","인절미","인기많은 절미씨","9.85"
"386","그림자가 길어지는 시간","25살,여대생","9.86"
"387","밤의 새벽","인육매매마을 소녀","9.84"
"388","데칼코마니","추적스릴러웹툰","9.66"
"389","수채화 다이어리","수채화로 전해드리는 공감 일상 툰 입니다:)","9.61"
"390","신 별주부전","새로운 토끼와 자라","9.91"
"391","꿈의 왕의 꿈","꿈의 왕이 누구야?","9.86"
"392","애니메이킹","애니메이션 만들기","9.61"
"393","악마법소녀","마법과 내뱉은 말","9.90"
"394","고3목마 회전인생","고3 타임루프","9.83"
"395","은근 짜릿해","이럴때 은근히 짜릿","9.84"
"396","학살던전마","학교에서 살아남기","7.65"
"397","거미덫","거미줄에 걸려버렸다","9.82"
"398","봉봉미엘 홍차클럽","홍차와 함께하는 일상 메르헨","9.91"
"399","미로의 정원","판타지","9.93"
"400","저승찾아 한서리","장기휴재","9.81"
"401","갓!김치","두유 노우 김치맨?","9.22"
"402","진주전","도깨비 판타지","9.87"
"403","데르탈리즘","원시인이 ★아이돌☆","9.57"
"404","문카니발","달과 밤 이중생활","9.57"
"405","나를 위한 봄","방송부 친구들","8.49"
"406","플랫다이어리","길고 말 많은 일상툰","9.90"
"407","같이 살아요!","결혼할수 있을까","9.93"
"408","여왕의자격","로맨스포츠","9.50"
"409","언메이크","에어 아포칼립스","9.25"
"410","어나더","판타지 로맨스","9.86"
"411","블러드문","비극이 낳은 희망","9.74"
"412","폐급 공무원","신종 폐급 공무원","9.53"
"413","아홉수 우리들","우리들 이야기","9.91"
"414","붉게 물들 홍","조선 춤꾼들 이야기","9.90"
"415","블캣다이어리","쇼핑몰!밴드!고양이 강아지 엄마! 테이의 소소한 일상툰!","9.73"
