"","grade","review"
"87","1"," 
                                            보통 영화가주는 메시지가 있기 마련인데... 강자에게는 무서워서 대들지 못하는 찌질남들이여 총을 들고 쏴죽여라! 한마리 벌레같은 내 인생 남들이 관심을가지다니 엣헹. 이런 느낌임. 이 영화자체가 조커의 재미없는 한편의 농담같음. 여기에 넘어가서 조커 공감! 멋있어! 어쩌면 나도? 하는 사람들은 조커의 의도에 보기좋게 속아넘어간 엑스트라처럼 보임
                                        "
"88","10"," 
                                            사회적 약자에 대한 두려움과 사회적 약자로서의  슬픔이 느껴지는 영화. 그리고 미친 연기력
                                        "
"89","10"," 
                                            영화 하나로 타인을 평가하는 인간이야말로 상종하지 말아야할 부류 = 영화에서 주는 메시지조차 이해못한 부류
                                        "
"90","0"," 
                                            
                                        "
"91","0"," 
                                            ㅎㅌㅊ들이 좋아할만한 영화
                                        "
"92","1"," 
                                            으
                                        "
"93","10"," 
                                            .
                                        "
"94","9"," 
                                            미친연기
                                        "
"95","0"," 
                                            찐따들의 우상
                                        "
"96","0"," 
                                            이 영화에 공감한다는 사람ㅋㅋㅋㅋㅋ 개얼탱;;개쌉노잼 영화임
                                        "
"97","0"," 
                                            별로
                                        "
"98","0"," 
                                            개노잼
                                        "
"99","1"," 
                                            이 영화 좋다고 하는 현실친구들 좀 멀리하게됨
                                        "
"100","1"," 
                                            
                                        "
