"","평점","리뷰"
"169","9","뭐하나나무랄데없는완벽에가까운영화진한슬픔이다가오는현실,결국은환경이나를지배해버린,발버둥치는인간군상의고담시"
"170","10","완벽한영화음악,춤,연출,연기까지,편견없이보려고아무정보없이밨어요.근래최고의영화라고단언합니다."
"171","10","올드보이의최민식뺨칠정도의연기다.10/10"
"172","10","신기하다이영화지금껏네번봤는데도자꾸장면생각나고여운이길어또보고싶음.이번주에또보러가게될것같다.올해내가가장극장에서많이본영화.예술영화로서정말잘만들었다호아킨피닉스의아서일때연기와조커로바뀌었을때연기가자꾸생각난다"
"173","10","5일지나도문득생각나는영화는걸작이랬는데..1주일지나도계속생각난다."
"174","10","코믹스영화는믿고거르는데이영화는다르다.2019년최고의영화가아닌가싶다"
"175","9",""
"176","10","좋아요"
"177","10",""
"178","0","네이버는1점부터줄수잇는데0점을줄수잇어서행복!오늘좋은하루입니다."
"179","9","뭐하나나무랄데없는완벽에가까운영화진한슬픔이다가오는현실,결국은환경이나를지배해버린,발버둥치는인간군상의고담시"
"180","10","완벽한영화음악,춤,연출,연기까지,편견없이보려고아무정보없이밨어요.근래최고의영화라고단언합니다."
"181","10","올드보이의최민식뺨칠정도의연기다.10/10"
"182","10","신기하다이영화지금껏네번봤는데도자꾸장면생각나고여운이길어또보고싶음.이번주에또보러가게될것같다.올해내가가장극장에서많이본영화.예술영화로서정말잘만들었다호아킨피닉스의아서일때연기와조커로바뀌었을때연기가자꾸생각난다"
"183","10","5일지나도문득생각나는영화는걸작이랬는데..1주일지나도계속생각난다."
"184","10","코믹스영화는믿고거르는데이영화는다르다.2019년최고의영화가아닌가싶다"
"185","9",""
"186","10","좋아요"
"187","10",""
"188","0","네이버는1점부터줄수잇는데0점을줄수잇어서행복!오늘좋은하루입니다."
"189","9","뭐하나나무랄데없는완벽에가까운영화진한슬픔이다가오는현실,결국은환경이나를지배해버린,발버둥치는인간군상의고담시"
"190","10","완벽한영화음악,춤,연출,연기까지,편견없이보려고아무정보없이밨어요.근래최고의영화라고단언합니다."
"191","10","올드보이의최민식뺨칠정도의연기다.10/10"
"192","10","신기하다이영화지금껏네번봤는데도자꾸장면생각나고여운이길어또보고싶음.이번주에또보러가게될것같다.올해내가가장극장에서많이본영화.예술영화로서정말잘만들었다호아킨피닉스의아서일때연기와조커로바뀌었을때연기가자꾸생각난다"
"193","10","5일지나도문득생각나는영화는걸작이랬는데..1주일지나도계속생각난다."
"194","10","코믹스영화는믿고거르는데이영화는다르다.2019년최고의영화가아닌가싶다"
"195","9",""
"196","10","좋아요"
"197","10",""
"198","0","네이버는1점부터줄수잇는데0점을줄수잇어서행복!오늘좋은하루입니다."
"199","9","뭐하나나무랄데없는완벽에가까운영화진한슬픔이다가오는현실,결국은환경이나를지배해버린,발버둥치는인간군상의고담시"
"200","10","완벽한영화음악,춤,연출,연기까지,편견없이보려고아무정보없이밨어요.근래최고의영화라고단언합니다."
