"","comicName","comicSummary","comicGrade"
"1441","결혼하고 싶지 않았는데 못하게 되었다.","안하느냐 못했느냐","9.84"
"1442","당할연","당신도할수있다연애","7.26"
"1443","채똘일기","채똘일기","9.57"
"1444","매지컬팡","명랑만화 매지컬팡","9.90"
"1445","꿀렁한 하루","닥스훈트 영식과 도롯씌의 하루","9.60"
"1446","죽음과 동화","호러.판타지.로맨스","9.89"
"1447","나는 마요 집사로소이다","쉽지 않은 집사생활","9.91"
"1448","마법소년 근무일지","","9.72"
"1449","158동 진상부부","부부의 진짜 일상","9.11"
"1450","껌은 고양이 뇌로","고양이 성 탈출극","9.82"
"1451","충충의 하루","충충의 하루","9.63"
"1452","휴지통","잔부스러기같은 행복","9.87"
"1453","홍시관찰일기","아기를 싫어하던 여자가 아기를 낳았다!","9.84"
"1454","바다의 끝에는 언제나 그 아이들이 있었다.","섬에 남은 자매.","9.94"
"1455","가짜 좀비왕 4컷","일하기 싫은 가짜 좀비왕, 하루에 4컷만 완성하면 살아 남는다.","8.81"
"1456","블랙펄 : 둥근 창의 세계","돈이궁한 용병이야기","9.72"
"1457","무대에 서지 않지만 배우입니다","배우 지망생 이야기","9.86"
"1458","신과의 대화","특별한 능력의 소년과 특이한 사연의 소녀의 만남! 그 만남이 가져오는 다양한 사건들. 그리고 운명!","9.87"
"1459","나의 별에게","감성로맨스","9.92"
"1460","사랑을,너에게","학원성장물","9.90"
"1461","스투피즈","새내기 생활툰","9.93"
"1462","저주와 별가루","저주와 별가루","9.80"
"1463","목소리의 그늘","훈남 전문 성우들!","9.88"
"1464","서폿저택에 어서오세요","서폿만 사는 저택","9.84"
"1465","결혼하고 싶지 않았는데 못하게 되었다.","안하느냐 못했느냐","9.84"
"1466","당할연","당신도할수있다연애","7.26"
"1467","채똘일기","채똘일기","9.57"
"1468","매지컬팡","명랑만화 매지컬팡","9.90"
"1469","꿀렁한 하루","닥스훈트 영식과 도롯씌의 하루","9.60"
"1470","죽음과 동화","호러.판타지.로맨스","9.89"
"1471","나는 마요 집사로소이다","쉽지 않은 집사생활","9.91"
"1472","마법소년 근무일지","","9.72"
"1473","158동 진상부부","부부의 진짜 일상","9.11"
"1474","껌은 고양이 뇌로","고양이 성 탈출극","9.82"
"1475","충충의 하루","충충의 하루","9.63"
"1476","휴지통","잔부스러기같은 행복","9.87"
"1477","홍시관찰일기","아기를 싫어하던 여자가 아기를 낳았다!","9.84"
"1478","바다의 끝에는 언제나 그 아이들이 있었다.","섬에 남은 자매.","9.94"
"1479","가짜 좀비왕 4컷","일하기 싫은 가짜 좀비왕, 하루에 4컷만 완성하면 살아 남는다.","8.81"
"1480","블랙펄 : 둥근 창의 세계","돈이궁한 용병이야기","9.72"
"1481","무대에 서지 않지만 배우입니다","배우 지망생 이야기","9.86"
"1482","신과의 대화","특별한 능력의 소년과 특이한 사연의 소녀의 만남! 그 만남이 가져오는 다양한 사건들. 그리고 운명!","9.87"
"1483","나의 별에게","감성로맨스","9.92"
"1484","사랑을,너에게","학원성장물","9.90"
"1485","스투피즈","새내기 생활툰","9.93"
"1486","저주와 별가루","저주와 별가루","9.80"
"1487","목소리의 그늘","훈남 전문 성우들!","9.88"
"1488","서폿저택에 어서오세요","서폿만 사는 저택","9.84"
"1489","결혼하고 싶지 않았는데 못하게 되었다.","안하느냐 못했느냐","9.84"
"1490","당할연","당신도할수있다연애","7.26"
"1491","채똘일기","채똘일기","9.57"
"1492","매지컬팡","명랑만화 매지컬팡","9.90"
"1493","꿀렁한 하루","닥스훈트 영식과 도롯씌의 하루","9.60"
"1494","죽음과 동화","호러.판타지.로맨스","9.89"
"1495","나는 마요 집사로소이다","쉽지 않은 집사생활","9.91"
"1496","마법소년 근무일지","","9.72"
"1497","158동 진상부부","부부의 진짜 일상","9.11"
"1498","껌은 고양이 뇌로","고양이 성 탈출극","9.82"
"1499","충충의 하루","충충의 하루","9.63"
"1500","휴지통","잔부스러기같은 행복","9.87"
"1501","홍시관찰일기","아기를 싫어하던 여자가 아기를 낳았다!","9.84"
"1502","바다의 끝에는 언제나 그 아이들이 있었다.","섬에 남은 자매.","9.94"
"1503","가짜 좀비왕 4컷","일하기 싫은 가짜 좀비왕, 하루에 4컷만 완성하면 살아 남는다.","8.81"
"1504","블랙펄 : 둥근 창의 세계","돈이궁한 용병이야기","9.72"
"1505","무대에 서지 않지만 배우입니다","배우 지망생 이야기","9.86"
"1506","신과의 대화","특별한 능력의 소년과 특이한 사연의 소녀의 만남! 그 만남이 가져오는 다양한 사건들. 그리고 운명!","9.87"
"1507","나의 별에게","감성로맨스","9.92"
"1508","사랑을,너에게","학원성장물","9.90"
"1509","스투피즈","새내기 생활툰","9.93"
"1510","저주와 별가루","저주와 별가루","9.80"
"1511","목소리의 그늘","훈남 전문 성우들!","9.88"
"1512","서폿저택에 어서오세요","서폿만 사는 저택","9.84"
"1513","결혼하고 싶지 않았는데 못하게 되었다.","안하느냐 못했느냐","9.84"
"1514","당할연","당신도할수있다연애","7.26"
"1515","채똘일기","채똘일기","9.57"
"1516","매지컬팡","명랑만화 매지컬팡","9.90"
"1517","꿀렁한 하루","닥스훈트 영식과 도롯씌의 하루","9.60"
"1518","죽음과 동화","호러.판타지.로맨스","9.89"
"1519","나는 마요 집사로소이다","쉽지 않은 집사생활","9.91"
"1520","마법소년 근무일지","","9.72"
"1521","158동 진상부부","부부의 진짜 일상","9.11"
"1522","껌은 고양이 뇌로","고양이 성 탈출극","9.82"
"1523","충충의 하루","충충의 하루","9.63"
"1524","휴지통","잔부스러기같은 행복","9.87"
"1525","홍시관찰일기","아기를 싫어하던 여자가 아기를 낳았다!","9.84"
"1526","바다의 끝에는 언제나 그 아이들이 있었다.","섬에 남은 자매.","9.94"
"1527","가짜 좀비왕 4컷","일하기 싫은 가짜 좀비왕, 하루에 4컷만 완성하면 살아 남는다.","8.81"
