"","comicName","comicSummary","comicGrade"
"1863","검은 늑대","검은 늑대","9.87"
"1864","제목이 7080 만화","7080 이야기","9.90"
"1865","하루와 모레","일상 이야기 :)","9.68"
"1866","올어바웃 You","봉카의 외노자인생","9.87"
"1867","오픈했어요 <매직컬 마카롱>","마카롱가게에서~","9.91"
"1868","나도 옷 잘 입고 싶다","패고의 패션만화","9.92"
"1869","외국 in 한국","영국인의한국생활","9.87"
"1870","중딩툰","중딩이 그리는 웹툰","9.46"
"1871","파리스의 선택","그리스 신화 회귀물","9.93"
"1872","아옹아옹","두식이 냥육일기","9.92"
"1873","A - STUDENT(모범생)","사악한 본성","9.83"
"1874","이브의 꿈속친구","꿈에서 만난 친구","9.77"
"1875","홈 스윗 홈","네식구 사는 이야기","9.85"
"1876","제 소원을 들어주세요!","중요한걸 잊고있었어","9.86"
"1877","헛어른","어른이라고 하기엔 아직 부족한 것 같고, 마냥 젊다고 하기엔 어느덧 적지 않은 나이. 그래서 때론 당황스럽기도 하고 서툴기도 한 우리들. ‘헛어른’은 그런 우리들의 이야기입니다.","9.85"
"1878","웰캄 투 실버라이프","할머니! 할아버지!","9.94"
"1879","선선한 이야기","프리랜선선","9.68"
"1880","일상견문록","다른나라 일상이야기","9.85"
"1881","아빠는 여섯 살","아빠 4컷 그림일기","9.94"
"1882","카나와 초나의 독일","독일 유학 생존기","9.89"
"1883","광해와 이순신","전쟁을 이긴 영웅들","9.60"
"1884","다 이아리","데이트폭력에 관하여","9.84"
"1885","식인귀","괴물이 보인다","9.77"
"1886","저승파견고용직","기묘한 만화","9.92"
"1887","검은 늑대","검은 늑대","9.87"
"1888","제목이 7080 만화","7080 이야기","9.90"
"1889","하루와 모레","일상 이야기 :)","9.68"
"1890","올어바웃 You","봉카의 외노자인생","9.87"
"1891","오픈했어요 <매직컬 마카롱>","마카롱가게에서~","9.91"
"1892","나도 옷 잘 입고 싶다","패고의 패션만화","9.92"
"1893","외국 in 한국","영국인의한국생활","9.87"
"1894","중딩툰","중딩이 그리는 웹툰","9.46"
"1895","파리스의 선택","그리스 신화 회귀물","9.93"
"1896","아옹아옹","두식이 냥육일기","9.92"
"1897","A - STUDENT(모범생)","사악한 본성","9.83"
"1898","이브의 꿈속친구","꿈에서 만난 친구","9.77"
"1899","홈 스윗 홈","네식구 사는 이야기","9.85"
"1900","제 소원을 들어주세요!","중요한걸 잊고있었어","9.86"
"1901","헛어른","어른이라고 하기엔 아직 부족한 것 같고, 마냥 젊다고 하기엔 어느덧 적지 않은 나이. 그래서 때론 당황스럽기도 하고 서툴기도 한 우리들. ‘헛어른’은 그런 우리들의 이야기입니다.","9.85"
"1902","웰캄 투 실버라이프","할머니! 할아버지!","9.94"
"1903","선선한 이야기","프리랜선선","9.68"
"1904","일상견문록","다른나라 일상이야기","9.85"
"1905","아빠는 여섯 살","아빠 4컷 그림일기","9.94"
"1906","카나와 초나의 독일","독일 유학 생존기","9.89"
"1907","광해와 이순신","전쟁을 이긴 영웅들","9.60"
"1908","다 이아리","데이트폭력에 관하여","9.84"
"1909","식인귀","괴물이 보인다","9.77"
"1910","저승파견고용직","기묘한 만화","9.92"
"1911","검은 늑대","검은 늑대","9.87"
"1912","제목이 7080 만화","7080 이야기","9.90"
"1913","하루와 모레","일상 이야기 :)","9.68"
"1914","올어바웃 You","봉카의 외노자인생","9.87"
"1915","오픈했어요 <매직컬 마카롱>","마카롱가게에서~","9.91"
"1916","나도 옷 잘 입고 싶다","패고의 패션만화","9.92"
"1917","외국 in 한국","영국인의한국생활","9.87"
"1918","중딩툰","중딩이 그리는 웹툰","9.46"
"1919","파리스의 선택","그리스 신화 회귀물","9.93"
"1920","아옹아옹","두식이 냥육일기","9.92"
"1921","A - STUDENT(모범생)","사악한 본성","9.83"
"1922","이브의 꿈속친구","꿈에서 만난 친구","9.77"
"1923","홈 스윗 홈","네식구 사는 이야기","9.85"
"1924","제 소원을 들어주세요!","중요한걸 잊고있었어","9.86"
"1925","헛어른","어른이라고 하기엔 아직 부족한 것 같고, 마냥 젊다고 하기엔 어느덧 적지 않은 나이. 그래서 때론 당황스럽기도 하고 서툴기도 한 우리들. ‘헛어른’은 그런 우리들의 이야기입니다.","9.85"
"1926","웰캄 투 실버라이프","할머니! 할아버지!","9.94"
"1927","선선한 이야기","프리랜선선","9.68"
"1928","일상견문록","다른나라 일상이야기","9.85"
"1929","아빠는 여섯 살","아빠 4컷 그림일기","9.94"
"1930","카나와 초나의 독일","독일 유학 생존기","9.89"
"1931","광해와 이순신","전쟁을 이긴 영웅들","9.60"
"1932","다 이아리","데이트폭력에 관하여","9.84"
"1933","식인귀","괴물이 보인다","9.77"
"1934","저승파견고용직","기묘한 만화","9.92"
"1935","검은 늑대","검은 늑대","9.87"
"1936","제목이 7080 만화","7080 이야기","9.90"
"1937","하루와 모레","일상 이야기 :)","9.68"
"1938","올어바웃 You","봉카의 외노자인생","9.87"
"1939","오픈했어요 <매직컬 마카롱>","마카롱가게에서~","9.91"
"1940","나도 옷 잘 입고 싶다","패고의 패션만화","9.92"
"1941","외국 in 한국","영국인의한국생활","9.87"
"1942","중딩툰","중딩이 그리는 웹툰","9.46"
"1943","파리스의 선택","그리스 신화 회귀물","9.93"
"1944","아옹아옹","두식이 냥육일기","9.92"
"1945","A - STUDENT(모범생)","사악한 본성","9.83"
"1946","이브의 꿈속친구","꿈에서 만난 친구","9.77"
"1947","홈 스윗 홈","네식구 사는 이야기","9.85"
"1948","제 소원을 들어주세요!","중요한걸 잊고있었어","9.86"
"1949","헛어른","어른이라고 하기엔 아직 부족한 것 같고, 마냥 젊다고 하기엔 어느덧 적지 않은 나이. 그래서 때론 당황스럽기도 하고 서툴기도 한 우리들. ‘헛어른’은 그런 우리들의 이야기입니다.","9.85"
"1950","웰캄 투 실버라이프","할머니! 할아버지!","9.94"
