"","title","review"
"105","스윗 프랑세즈","한순간도 긴장의 끈을 놓을수 없는 영화  그후 알콩달콩이 있었음 왠지 더좋았을...  잼있었어요"
"106","남과 여",""
"107","죄 많은 소녀","좋았음"
"108","라이온 킹",""
"109","82년생 김지영","옥의 티가 많이 있데. 그나자나 긴장감 넘치고 재밌는 영화.. 지겹지 않음"
"110","82년생 김지영","재미있고 감동적이네요"
"111","82년생 김지영","오랜만에 재밌는 조정석 영화를 만났네 ㅋㅋㅋ 오래걸렸다 ㅋ"
"112","람보 : 라스트 워","잼있다... 꼭.보길.."
"113","사자","너무 재밌는영화~"
"114","쥬라기 월드: 폴른 킹덤","이정도면 괜찮은거 아님? 아무리 재미없어도 1점은 아니질않냐?...평점테러하는 쓰레기들...니들이 좋다는 영화를 한번 보고싶다."
"115","스윗 프랑세즈","잼났움"
"116","남과 여","기대 없이 봤다. 900만 넘은 건 의외이지만, 긴장감 넘치는 연출력 좋았다!"
"117","죄 많은 소녀","왜 봤을까??"
"118","라이온 킹",""
"119","82년생 김지영",""
"120","82년생 김지영","재미있다. 연기 잘한다. 전개좋다."
"121","82년생 김지영","재난 상황을 소재로 펼쳐지는 코미디가 유쾌하군"
"122","람보 : 라스트 워","난 잼나게 봤음.  이정도면 잘 맹글었음.  잘한건 좀 잘했다고 해라. 평점 1점들아,,,뭔 쌤통이 이렇게 심하냐?,,혹시,,쩍바리?????"
"123","사자",""
"124","쥬라기 월드: 폴른 킹덤","영화보다가 그만본건 염력이후 두번째임.졸작도 이런 졸작이 없었고 염력을 염병이라고 생각했는데  이것도 쌍욕나몸.완전 초등영화.에라이~~"
"125","스윗 프랑세즈","영화보다 짜증나서 속으로 욕하며 봄 ㅜㅜ평점에 낚여  봤는데 너무너무 유치함...우리나라 영화 수준 이것 밖에 안되나ㅠㅠ"
"126","남과 여","재밌었다 긴장감 좋고~아이들과 같이 봐도 좋았다. 코믹요소도 조금 있지만 약간 어색.. 마무리 아쉬움"
"127","죄 많은 소녀","......."
"128","라이온 킹","정말 유치해서...평점에 낚이다...졸라 재미없다...수준이하...쌍팔년도 영화수준...핸드폰으로 구조요청하는 장면...유치해서 내가 다 무안하다...감독...참....자질이 없다...."
"129","82년생 김지영","진짜 재밌었요"
"130","82년생 김지영","ㆍ"
"131","82년생 김지영","말이 필요없는 최고영화입니다보는 각도의 수준을 높여주세요재미로만 끝나는 영화가 아니네요"
"132","람보 : 라스트 워","올해 영화중에는 최고인듯"
"133","사자","최고네요"
"134","쥬라기 월드: 폴른 킹덤","한국 국민들의 수준이 보인다. 이런영화가 무슨 천만? 거지같은 영화"
"135","스윗 프랑세즈","원맨쇼~~~~둘이 지금 머하니?"
"136","남과 여","재밌고 참신한 재난영화. 코미디랑 설정의 디테일함, 신파는 조절의 간극이."
